"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2014","51,133.13","51,466.89","51,466.89","51,099.24","155.55M","-0.92%"
"Aug 27, 2014","51,610.42","51,731.98","51,862.77","51,536.64","188.70M","-0.23%"
"Aug 26, 2014","51,729.68","51,387.89","51,729.68","51,362.44","148.56M","0.57%"
"Aug 25, 2014","51,437.58","51,264.70","51,437.58","51,098.17","86.18M","0.47%"
"Aug 22, 2014","51,197.16","51,514.59","51,537.98","51,096.93","154.42M","-0.48%"
"Aug 21, 2014","51,443.43","51,376.96","51,582.37","51,187.48","316.02M","0.01%"
"Aug 20, 2014","51,436.59","51,477.50","51,477.50","50,995.90","173.51M","0.14%"
"Aug 19, 2014","51,363.37","51,600.58","51,805.86","51,253.20","157.88M","-0.40%"
"Aug 18, 2014","51,572.19","51,353.11","51,600.05","51,353.11","137.98M","0.61%"
"Aug 15, 2014","51,257.72","51,314.91","51,482.21","51,192.89","153.59M","0.36%"
"Aug 14, 2014","51,073.90","51,146.10","51,296.29","51,066.17","194.68M","-0.38%"
"Aug 13, 2014","51,266.51","51,546.54","51,736.13","51,183.22","243.14M","-0.35%"
"Aug 12, 2014","51,449.01","51,537.64","51,711.29","51,431.32","127.23M","-0.14%"
"Aug 11, 2014","51,523.27","50,989.43","51,591.29","50,978.88","132.84M","1.68%"
"Aug 08, 2014","50,669.95","50,431.38","50,759.12","50,233.11","344.48M","-0.01%"
"Aug 07, 2014","50,674.61","51,056.33","51,123.67","50,669.03","443.34M","-0.82%"
"Aug 06, 2014","51,091.80","51,216.72","51,310.83","50,772.70","301.59M","-0.50%"
"Aug 05, 2014","51,349.11","51,366.30","51,624.82","51,275.59","152.94M","0.21%"
"Aug 04, 2014","51,239.56","50,952.78","51,318.89","50,897.07","152.65M","0.63%"
"Aug 01, 2014","50,917.78","51,248.85","51,251.59","50,628.51","167.83M","-0.93%"
"Jul 31, 2014","51,396.07","51,738.81","51,738.81","51,396.07","167.33M","-0.72%"
"Jul 30, 2014","51,770.59","52,238.79","52,238.79","51,738.34","168.66M","-0.90%"
"Jul 29, 2014","52,242.12","52,188.22","52,323.61","52,154.67","152.68M","0.61%"
"Jul 28, 2014","51,927.57","51,748.02","51,999.90","51,748.02","135.06M","0.73%"
"Jul 25, 2014","51,550.17","51,716.65","51,752.86","51,523.52","158.70M","-0.14%"
"Jul 24, 2014","51,621.52","52,010.61","52,010.61","51,613.51","155.52M","-0.56%"
"Jul 23, 2014","51,910.92","51,885.56","52,052.27","51,766.60","170.61M","-0.04%"
"Jul 22, 2014","51,931.33","51,693.92","52,019.39","51,667.86","186.41M","0.99%"
"Jul 21, 2014","51,420.81","51,672.80","51,721.63","51,354.97","576.26M","-0.53%"
"Jul 18, 2014","51,695.05","51,660.99","51,753.40","51,339.76","144.91M","-0.18%"
"Jul 17, 2014","51,789.74","52,038.07","52,038.07","51,605.12","115.97M","-0.55%"
"Jul 16, 2014","52,076.90","51,739.38","52,183.37","51,677.21","179.49M","0.66%"
"Jul 15, 2014","51,735.29","51,439.88","51,803.93","51,402.60","148.73M","0.38%"
"Jul 14, 2014","51,540.88","51,327.12","51,655.94","51,321.27","137.24M","0.74%"
"Jul 11, 2014","51,161.33","51,122.79","51,196.85","50,887.03","126.34M","0.33%"
"Jul 10, 2014","50,994.46","51,522.76","51,522.76","50,699.06","161.15M","-0.79%"
"Jul 09, 2014","51,401.46","51,457.88","51,480.27","51,205.73","147.78M","-0.40%"
"Jul 08, 2014","51,608.33","51,829.00","51,854.84","51,490.02","175.44M","-0.52%"
"Jul 07, 2014","51,877.11","52,004.40","52,125.99","51,749.22","155.18M","-0.35%"
"Jul 04, 2014","52,060.03","51,929.46","52,060.03","51,864.08","138.74M","0.27%"
"Jul 03, 2014","51,918.44","51,914.82","52,101.34","51,678.93","319.84M","0.07%"
"Jul 02, 2014","51,883.71","51,661.45","51,978.38","51,628.32","163.78M","0.78%"
"Jul 01, 2014","51,480.19","51,051.99","51,480.19","50,947.61","129.87M","1.05%"
"Jun 30, 2014","50,945.26","50,605.43","50,945.26","50,578.06","140.68M","0.63%"
"Jun 27, 2014","50,625.37","50,757.77","50,768.52","50,527.50","129.47M","-0.27%"
"Jun 26, 2014","50,761.82","50,566.81","50,822.64","50,453.62","140.97M","0.82%"
"Jun 25, 2014","50,350.61","50,714.85","50,763.05","50,190.40","136.36M","-1.06%"
"Jun 24, 2014","50,890.92","51,058.86","51,113.67","50,733.67","577.39M","-0.33%"
"Jun 23, 2014","51,058.27","51,206.75","51,235.39","50,842.65","121.31M","-0.52%"
"Jun 20, 2014","51,322.67","51,247.67","51,397.11","51,234.42","249.31M","0.12%"
"Jun 19, 2014","51,263.50","50,937.46","51,324.14","50,860.78","268.69M","1.12%"
"Jun 18, 2014","50,693.95","51,015.57","51,040.49","50,654.01","164.61M","-0.43%"
"Jun 17, 2014","50,911.05","50,903.97","50,917.08","50,733.96","188.40M","0.29%"
"Jun 13, 2014","50,763.71","50,758.76","50,811.70","50,518.19","135.35M","0.33%"
"Jun 12, 2014","50,596.17","50,719.65","50,719.65","50,488.51","161.86M","-0.12%"
"Jun 11, 2014","50,659.44","50,824.99","50,993.35","50,659.44","180.09M","-0.15%"
"Jun 10, 2014","50,736.42","50,267.08","50,736.42","50,193.30","191.57M","1.20%"
"Jun 09, 2014","50,134.53","50,025.35","50,188.70","49,952.85","104.80M","0.40%"
"Jun 06, 2014","49,933.99","50,073.80","50,120.69","49,873.01","140.86M","-0.13%"
"Jun 05, 2014","50,000.43","49,875.96","50,018.61","49,729.71","169.10M","0.08%"
"Jun 04, 2014","49,960.21","49,848.57","50,054.53","49,808.53","135.90M","0.05%"
"Jun 03, 2014","49,936.54","49,819.00","49,936.54","49,685.54","183.57M","0.24%"
"Jun 02, 2014","49,817.89","49,739.63","49,854.65","49,630.62","130.03M","0.37%"
"May 30, 2014","49,632.70","49,684.16","49,803.52","49,599.85","336.77M","-0.19%"
"May 29, 2014","49,726.64","49,723.69","49,778.08","49,519.68","133.71M","0.07%"
"May 28, 2014","49,690.58","49,976.79","49,976.79","49,567.45","157.33M","-0.27%"
"May 27, 2014","49,824.45","50,055.62","50,055.62","49,824.45","150.26M","-0.39%"
"May 26, 2014","50,021.72","49,996.67","50,021.72","49,819.25","102.06M","0.14%"
"May 23, 2014","49,952.69","49,914.91","50,065.89","49,834.22","164.62M","0.12%"
"May 22, 2014","49,891.36","49,817.79","50,037.05","49,816.97","197.36M","0.49%"
"May 21, 2014","49,648.12","49,518.94","49,648.12","49,427.19","138.93M","0.06%"
"May 20, 2014","49,617.00","49,700.91","49,787.41","49,538.31","184.33M","0.22%"
"May 19, 2014","49,507.48","49,250.79","49,615.33","49,120.86","142.20M","0.71%"
"May 16, 2014","49,159.77","49,439.70","49,562.79","49,072.13","149.73M","-0.60%"
"May 15, 2014","49,454.59","49,578.28","49,885.84","49,380.13","154.48M","-0.36%"
"May 14, 2014","49,632.23","49,331.76","49,668.46","49,229.04","225.46M","0.88%"
"May 13, 2014","49,199.70","49,368.51","49,407.95","49,071.90","162.66M","-0.08%"
"May 12, 2014","49,239.29","49,136.73","49,327.96","49,038.89","174.19M","0.79%"
"May 09, 2014","48,852.45","48,973.53","48,993.24","48,755.64","139.05M","-0.36%"
"May 08, 2014","49,026.95","48,976.21","49,169.39","48,963.57","202.17M","0.17%"
"May 06, 2014","48,942.02","49,061.03","49,061.03","48,736.28","177.15M","0.13%"
"May 05, 2014","48,880.81","48,957.01","49,170.24","48,785.80","118.58M","-0.43%"
"May 02, 2014","49,091.16","48,893.67","49,187.19","48,857.22","139.59M","0.45%"
"Apr 30, 2014","48,870.10","48,769.54","48,924.30","48,743.26","198.02M","-0.13%"
"Apr 29, 2014","48,935.36","48,865.47","48,935.36","48,611.60","164.23M","0.05%"
"Apr 25, 2014","48,910.90","48,828.27","49,052.49","48,824.81","135.16M","-0.05%"
"Apr 24, 2014","48,934.51","48,919.91","49,069.63","48,813.39","177.45M","0.59%"
"Apr 23, 2014","48,647.62","48,643.31","48,909.82","48,643.31","169.66M","0.01%"
"Apr 22, 2014","48,643.31","48,313.51","48,645.66","48,313.51","139.39M","0.58%"
"Apr 17, 2014","48,362.22","48,156.42","48,362.22","48,006.66","143.07M","0.46%"
"Apr 16, 2014","48,139.69","48,089.26","48,193.28","47,877.38","181.07M","0.73%"
"Apr 15, 2014","47,789.76","48,112.88","48,238.11","47,746.11","186.63M","-0.88%"
"Apr 14, 2014","48,213.26","48,040.82","48,248.83","47,922.68","165.69M","0.38%"
"Apr 11, 2014","48,032.41","48,134.79","48,224.51","47,876.62","185.35M","-1.03%"
"Apr 10, 2014","48,529.88","48,476.96","48,683.37","48,233.21","221.23M","0.49%"
"Apr 09, 2014","48,291.88","48,207.70","48,515.63","48,207.70","222.07M","0.46%"
"Apr 08, 2014","48,069.53","48,038.29","48,069.53","47,814.96","226.06M","0.44%"
"Apr 07, 2014","47,857.95","47,844.50","48,107.33","47,798.22","195.11M","-1.01%"
"Apr 04, 2014","48,347.75","48,278.68","48,409.11","48,188.82","218.71M","0.24%"
"Apr 03, 2014","48,231.39","48,350.36","48,611.69","48,132.55","198.76M","-0.36%"
"Apr 02, 2014","48,405.90","48,369.95","48,473.99","48,302.69","266.09M","0.63%"
"Apr 01, 2014","48,104.98","47,925.73","48,262.95","47,878.84","189.22M","0.70%"
"Mar 31, 2014","47,770.92","47,947.00","48,137.67","47,770.92","229.72M","-0.33%"
"Mar 28, 2014","47,930.03","47,538.99","47,930.03","47,492.80","204.97M","1.16%"
"Mar 27, 2014","47,380.98","47,193.57","47,426.54","47,191.39","193.81M","-0.57%"
"Mar 26, 2014","47,652.89","47,545.32","47,766.64","47,545.32","188.40M","0.56%"
"Mar 25, 2014","47,387.56","46,917.98","47,477.00","46,816.63","154.18M","1.09%"
"Mar 24, 2014","46,875.37","46,708.40","47,011.40","46,700.42","174.08M","0.79%"
"Mar 20, 2014","46,508.27","46,465.55","46,685.15","46,300.99","404.20M","-0.34%"
"Mar 19, 2014","46,666.54","47,074.62","47,121.44","46,595.32","200.54M","-0.83%"
"Mar 18, 2014","47,059.19","46,938.08","47,198.13","46,610.83","204.59M","0.52%"
"Mar 17, 2014","46,816.65","46,273.71","46,847.12","46,204.53","160.74M","0.87%"
"Mar 14, 2014","46,412.40","46,245.65","46,448.74","46,070.98","196.06M","-0.88%"
"Mar 13, 2014","46,825.52","47,298.88","47,364.67","46,825.52","182.06M","-0.77%"
"Mar 12, 2014","47,188.84","47,291.79","47,370.48","47,088.98","175.52M","-0.89%"
"Mar 11, 2014","47,612.81","47,391.84","47,612.81","47,220.41","175.96M","0.61%"
"Mar 10, 2014","47,322.46","47,354.58","47,531.71","47,168.98","146.74M","-0.97%"
"Mar 07, 2014","47,786.77","47,866.16","48,002.23","47,766.95","162.78M","-0.07%"
"Mar 06, 2014","47,819.53","47,615.06","47,884.79","47,492.72","172.09M","0.64%"
"Mar 05, 2014","47,514.80","47,626.86","47,691.29","47,412.31","193.90M","-0.18%"
"Mar 04, 2014","47,602.69","47,339.36","47,643.28","47,276.11","219.41M","0.99%"
"Mar 03, 2014","47,138.32","46,896.71","47,138.32","46,824.12","134.29M","-0.40%"
"Feb 28, 2014","47,328.92","47,164.45","47,328.92","46,991.57","241.33M","0.59%"
"Feb 27, 2014","47,049.79","47,215.86","47,321.19","46,905.96","165.37M","0.07%"
"Feb 26, 2014","47,017.19","47,108.65","47,160.75","46,900.94","171.02M","0.13%"
"Feb 25, 2014","46,956.75","47,352.40","47,494.19","46,956.75","193.32M","-0.92%"
"Feb 24, 2014","47,394.00","47,226.39","47,614.47","47,194.43","156.77M","-0.12%"
"Feb 21, 2014","47,452.24","47,539.48","47,616.85","47,256.77","164.16M","0.64%"
"Feb 20, 2014","47,149.35","47,339.09","47,339.09","47,041.41","177.46M","-0.61%"
"Feb 19, 2014","47,438.31","47,296.23","47,438.31","47,174.19","184.84M","0.69%"
"Feb 18, 2014","47,112.43","47,241.76","47,265.19","46,880.13","134.91M","0.18%"
"Feb 17, 2014","47,027.54","46,826.65","47,175.98","46,824.52","147.34M","0.86%"
"Feb 14, 2014","46,628.74","46,493.14","46,689.22","46,488.01","143.44M","0.82%"
"Feb 13, 2014","46,251.77","46,322.27","46,539.07","46,146.84","176.26M","-0.37%"
"Feb 12, 2014","46,425.11","46,073.65","46,430.30","46,029.80","188.05M","1.22%"
"Feb 11, 2014","45,866.02","46,009.99","46,233.30","45,750.21","199.25M","-0.12%"
"Feb 10, 2014","45,920.87","45,577.12","45,942.64","45,521.12","165.25M","1.28%"
"Feb 07, 2014","45,340.76","45,174.38","45,385.17","45,038.73","185.57M","0.79%"
"Feb 06, 2014","44,985.34","44,599.60","44,985.34","44,326.81","252.38M","1.14%"
"Feb 05, 2014","44,477.18","44,388.26","44,571.86","44,220.99","195.97M","0.06%"
"Feb 04, 2014","44,451.57","44,370.30","44,525.25","44,145.42","251.05M","-1.12%"
"Feb 03, 2014","44,956.91","45,005.00","45,417.12","44,826.17","173.14M","-0.39%"
"Jan 31, 2014","45,132.10","45,249.63","45,370.42","44,945.90","284.59M","-0.10%"
"Jan 30, 2014","45,178.25","45,654.26","45,654.26","45,147.73","423.85M","-0.85%"
"Jan 29, 2014","45,564.62","46,093.71","46,394.87","45,392.97","247.78M","-0.35%"
"Jan 28, 2014","45,724.70","45,675.28","45,805.77","45,580.56","168.23M","-0.06%"
"Jan 27, 2014","45,750.70","45,938.40","46,099.13","45,670.44","179.03M","-1.53%"
"Jan 24, 2014","46,462.14","46,998.64","47,052.46","46,395.07","196.30M","-1.24%"
"Jan 23, 2014","47,045.44","46,885.60","47,348.48","46,885.60","195.66M","0.09%"
"Jan 22, 2014","47,000.95","46,971.09","47,000.95","46,766.78","149.60M","0.24%"
"Jan 21, 2014","46,889.64","46,946.91","46,946.91","46,723.68","176.03M","-0.10%"
"Jan 20, 2014","46,934.59","46,643.52","46,974.14","46,481.19","158.20M","0.55%"
"Jan 17, 2014","46,675.88","46,798.01","46,966.36","46,646.37","221.16M","-0.11%"
"Jan 16, 2014","46,728.46","46,470.81","46,798.02","46,110.96","154.96M","0.62%"
"Jan 15, 2014","46,442.45","46,090.08","46,545.89","46,090.08","144.17M","1.00%"
"Jan 14, 2014","45,982.07","45,668.54","46,033.70","45,638.39","145.34M","-0.10%"
