Image,Number,Artist,Title,Streams,Date
1686,59,Billie Eilish,lovely,"1,721",2018-12-12
1687,60,Zara Larsson,Ruin My Life,"1,716",2018-12-12
1688,61,Rita Ora,Let You Love Me,"1,711",2018-12-12
1689,62,Marshmello,FRIENDS,"1,694",2018-12-12
1690,63,Alesso,REMEDY,"1,690",2018-12-12
1691,64,Cardi B,Money,"1,681",2018-12-12
1692,65,Ella Mai,Trip,"1,679",2018-12-12
1693,66,Ariana Grande,no tears left to cry,"1,666",2018-12-12
1694,67,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),"1,637",2018-12-12
1695,68,Drake,God's Plan,"1,630",2018-12-12
1696,69,Mariah Carey,All I Want for Christmas Is You,"1,624",2018-12-12
1697,70,Queen,Bohemian Rhapsody - 2011 Mix,"1,619",2018-12-12
1698,71,Kanye West,I Love It (& Lil Pump),"1,618",2018-12-12
1699,72,Imagine Dragons,Bad Liar,"1,592",2018-12-12
1700,73,Eminem,Lucky You (feat. Joyner Lucas),"1,580",2018-12-12
1701,74,Imagine Dragons,Believer,"1,559",2018-12-12
1702,75,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),"1,534",2018-12-12
1703,76,The Chainsmokers,Closer,"1,527",2018-12-12
1704,77,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),"1,521",2018-12-12
1705,78,Maroon 5,What Lovers Do,"1,520",2018-12-12
1706,79,Ed Sheeran,Shape of You,"1,515",2018-12-12
1707,80,Martin Garrix,High On Life (feat. Bonn),"1,484",2018-12-12
1708,81,Kygo,Born To Be Yours,"1,484",2018-12-12
1709,82,Lil Peep,Falling Down - Bonus Track,"1,444",2018-12-12
1710,83,Camila Cabello,Havana (feat. Young Thug),"1,430",2018-12-12
1711,84,Khalid,Love Lies (with Normani),"1,429",2018-12-12
1712,85,6LACK,Pretty Little Fears (feat. J. Cole),"1,421",2018-12-12
1713,86,XXXTENTACION,Jocelyn Flores,"1,412",2018-12-12
1714,87,Kygo,Remind Me to Forget,"1,410",2018-12-12
1715,88,French Montana,No Stylist,"1,408",2018-12-12
1716,89,Billie Eilish,come out and play,"1,402",2018-12-12
1717,90,NF,Let You Down,"1,398",2018-12-12
1718,91,Dua Lipa,Kiss and Make Up,"1,397",2018-12-12
1719,92,Ariana Grande,breathin,"1,396",2018-12-12
1720,93,Dua Lipa,New Rules,"1,395",2018-12-12
1721,94,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),"1,391",2018-12-12
1722,95,Imagine Dragons,Natural,"1,371",2018-12-12
1723,96,Cardi B,I Like It,"1,359",2018-12-12
1724,97,Selena Gomez,Wolves,"1,351",2018-12-12
1725,98,DJ Sumbody,Monate Mpolaye,"1,343",2018-12-12
1726,99,Marshmello,Silence,"1,338",2018-12-12
1727,100,Little Mix,Woman Like Me (feat. Nicki Minaj),"1,333",2018-12-12
1728,101,Silk City,Electricity (with Dua Lipa),"1,328",2018-12-12
1729,102,XXXTENTACION,Guardian angel,"1,327",2018-12-12
1730,103,Post Malone,Psycho (feat. Ty Dolla $ign),"1,307",2018-12-12
1731,104,Post Malone,I Fall Apart,"1,300",2018-12-12
1732,105,Wham!,Last Christmas,"1,297",2018-12-12
1733,106,Khalid,Suncity (feat. Empress Of),"1,292",2018-12-12
1734,107,Alan Walker,Darkside,"1,268",2018-12-12
1735,108,Khalid,Young Dumb & Broke,"1,264",2018-12-12
1736,109,Calvin Harris,One Kiss (with Dua Lipa),"1,256",2018-12-12
1737,110,XXXTENTACION,I don’t let go,"1,250",2018-12-12
1738,111,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","1,242",2018-12-12
1739,112,DJ Khaled,No Brainer,"1,241",2018-12-12
1740,113,Jess Glynne,I'll Be There,"1,205",2018-12-12
1741,114,Sia,Thunderclouds,"1,202",2018-12-12
1742,115,Dennis Lloyd,Nevermind,"1,198",2018-12-12
1743,116,Rudimental,These Days,"1,197",2018-12-12
1744,117,Metro Boomin,10 Freaky Girls (with 21 Savage),"1,188",2018-12-12
1745,118,Flipp Dinero,Leave Me Alone,"1,188",2018-12-12
1746,119,6ix9ine,KIKA,"1,177",2018-12-12
1747,120,Kwesta,Vur Vai,"1,174",2018-12-12
1748,121,Lukas Graham,Love Someone,"1,172",2018-12-12
1749,122,Zara Larsson,Never Forget You,"1,171",2018-12-12
1750,123,Bebe Rexha,I'm a Mess,"1,131",2018-12-12
1751,124,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),"1,128",2018-12-12
1752,125,Avril Lavigne,Head Above Water,"1,109",2018-12-12
1753,126,Sia,Audio,"1,101",2018-12-12
1754,127,6ix9ine,MAMA,"1,097",2018-12-12
1755,128,Journey,Don't Stop Believin',"1,094",2018-12-12
1756,129,Billie Eilish,bellyache,"1,078",2018-12-12
1757,130,The Chainsmokers,Beach House,"1,072",2018-12-12
1758,131,Ed Sheeran,Perfect,"1,072",2018-12-12
1759,132,King Monada,Malwedhe,"1,063",2018-12-12
1760,133,Queen,Another One Bites The Dust - Remastered 2011,"1,058",2018-12-12
1761,134,BlocBoy JB,Look Alive (feat. Drake),"1,052",2018-12-12
1762,135,Michael Bublé,It's Beginning to Look a Lot like Christmas,"1,052",2018-12-12
1763,136,King Princess,1950,"1,048",2018-12-12
1764,137,Ed Sheeran,Happier,"1,044",2018-12-12
1765,138,James Arthur,Say You Won't Let Go,"1,037",2018-12-12
1766,139,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)","1,028",2018-12-12
1767,140,Kendrick Lamar,All The Stars (with SZA),"1,020",2018-12-12
1768,141,Shawn Mendes,In My Blood,"1,018",2018-12-12
1769,142,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),"1,008",2018-12-12
1770,143,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,"1,006",2018-12-12
1771,144,Shawn Mendes,Treat You Better,"1,005",2018-12-12
1772,1,Ariana Grande,"thank u, next","4,910",2018-12-13
1773,2,Halsey,Without Me,"4,818",2018-12-13
1774,3,Marshmello,Happier,"4,604",2018-12-13
1775,4,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"4,276",2018-12-13
1776,5,benny blanco,Eastside (with Halsey & Khalid),"4,017",2018-12-13
1777,6,5 Seconds of Summer,Youngblood,"3,975",2018-12-13
1778,7,Khalid,Better,"3,822",2018-12-13
1779,8,Travis Scott,SICKO MODE,"3,670",2018-12-13
1780,9,Dynoro,In My Mind,"3,666",2018-12-13
1781,10,Meek Mill,Going Bad (feat. Drake),"3,546",2018-12-13
1782,11,Kodak Black,ZEZE (feat. Travis Scott & Offset),"3,455",2018-12-13
1783,12,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"3,396",2018-12-13
1784,13,Post Malone,Better Now,"3,360",2018-12-13
1785,14,Sheck Wes,Mo Bamba,"3,267",2018-12-13
1786,15,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","3,247",2018-12-13
1787,16,XXXTENTACION,whoa (mind in awe),"2,781",2018-12-13
1788,17,Juice WRLD,Lucid Dreams,"2,763",2018-12-13
1789,18,George Ezra,Shotgun,"2,722",2018-12-13
1790,19,Maroon 5,Girls Like You (feat. Cardi B),"2,695",2018-12-13
1791,20,Jonas Blue,Rise,"2,630",2018-12-13
1792,21,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),"2,604",2018-12-13
1793,22,Lady Gaga,Shallow,"2,586",2018-12-13
1794,23,Loud Luxury,Body (feat. Brando),"2,564",2018-12-13
1795,24,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),"2,491",2018-12-13
1796,25,XXXTENTACION,SAD!,"2,480",2018-12-13
1797,26,XXXTENTACION,BAD!,"2,459",2018-12-13
1798,27,Calvin Harris,Promises (with Sam Smith),"2,454",2018-12-13
1799,28,Billie Eilish,when the party's over,"2,265",2018-12-13
1800,29,Lauv,I Like Me Better,"2,155",2018-12-13
1801,30,Anne-Marie,2002,"2,138",2018-12-13
1802,31,Bazzi,Beautiful (feat. Camila Cabello),"2,114",2018-12-13
1803,32,XXXTENTACION,Moonlight,"2,098",2018-12-13
1804,33,Zedd,The Middle,"2,075",2018-12-13
1805,34,Panic! At The Disco,High Hopes,"2,051",2018-12-13
1806,35,Tyga,Taste (feat. Offset),"2,042",2018-12-13
1807,36,Drake,Nonstop,"2,037",2018-12-13
1808,37,Khalid,Saturday Nights,"2,026",2018-12-13
1809,38,Mariah Carey,All I Want for Christmas Is You,"2,025",2018-12-13
1810,39,Post Malone,rockstar (feat. 21 Savage),"2,025",2018-12-13
1811,40,Dean Lewis,Be Alright,"1,999",2018-12-13
1812,41,Ava Max,Sweet but Psycho,"1,961",2018-12-13
1813,42,Prince Kaybee,Banomoya,"1,946",2018-12-13
1814,43,Gucci Mane,Wake Up in the Sky,"1,884",2018-12-13
1815,44,Zedd,Happy Now,"1,868",2018-12-13
1816,45,AKA,Fela In Versace,"1,859",2018-12-13
1817,46,The Chainsmokers,This Feeling (feat. Kelsea Ballerini),"1,853",2018-12-13
1818,47,Lil Baby,Drip Too Hard (Lil Baby & Gunna),"1,842",2018-12-13
1819,48,Lady Zamar,Collide,"1,838",2018-12-13
1820,49,Imagine Dragons,Bad Liar,"1,830",2018-12-13
1821,50,Kygo,Happy Now,"1,820",2018-12-13
1822,51,Imagine Dragons,Thunder,"1,819",2018-12-13
1823,52,Bad Bunny,MIA (feat. Drake),"1,811",2018-12-13
1824,53,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,"1,799",2018-12-13
1825,54,Drake,In My Feelings,"1,794",2018-12-13
1826,55,Martin Garrix,Ocean (feat. Khalid),"1,793",2018-12-13
1827,56,Dua Lipa,IDGAF,"1,787",2018-12-13
1828,57,Zara Larsson,Ruin My Life,"1,784",2018-12-13
1829,58,Queen,Bohemian Rhapsody - 2011 Mix,"1,770",2018-12-13
1830,59,6ix9ine,TIC TOC,"1,758",2018-12-13
1831,60,Imagine Dragons,Natural,"1,750",2018-12-13
1832,61,Ariana Grande,no tears left to cry,"1,748",2018-12-13
1833,62,Tiësto,Jackie Chan,"1,745",2018-12-13
1834,63,Clean Bandit,Solo (feat. Demi Lovato),"1,740",2018-12-13
1835,64,Billie Eilish,lovely,"1,713",2018-12-13
1836,65,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),"1,706",2018-12-13
1837,66,Marshmello,FRIENDS,"1,703",2018-12-13
1838,67,Rita Ora,Let You Love Me,"1,685",2018-12-13
1839,68,Imagine Dragons,Believer,"1,647",2018-12-13
1840,69,Drake,God's Plan,"1,626",2018-12-13
1841,70,Eminem,Lucky You (feat. Joyner Lucas),"1,615",2018-12-13
1842,71,Cardi B,Money,"1,599",2018-12-13
1843,72,Camila Cabello,Havana (feat. Young Thug),"1,595",2018-12-13
1844,73,Alesso,REMEDY,"1,583",2018-12-13
1845,74,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),"1,572",2018-12-13
1846,75,Ed Sheeran,Shape of You,"1,568",2018-12-13
1847,76,Ella Mai,Trip,"1,551",2018-12-13
1848,77,DJ Sumbody,Monate Mpolaye,"1,550",2018-12-13
1849,78,Kanye West,I Love It (& Lil Pump),"1,542",2018-12-13
1850,79,Maroon 5,What Lovers Do,"1,538",2018-12-13
1851,80,Kygo,Born To Be Yours,"1,526",2018-12-13
1852,81,6ix9ine,FEFE,"1,514",2018-12-13
1853,82,French Montana,No Stylist,"1,510",2018-12-13
1854,83,Billie Eilish,come out and play,"1,493",2018-12-13
1855,84,Martin Garrix,High On Life (feat. Bonn),"1,487",2018-12-13
1856,85,NF,Let You Down,"1,446",2018-12-13
1857,86,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),"1,442",2018-12-13
1858,87,Wham!,Last Christmas,"1,441",2018-12-13
1859,88,The Chainsmokers,Closer,"1,440",2018-12-13
1860,89,Kygo,Remind Me to Forget,"1,435",2018-12-13
1861,90,Dua Lipa,Kiss and Make Up,"1,428",2018-12-13
1862,91,Cardi B,I Like It,"1,426",2018-12-13
1863,92,Ariana Grande,breathin,"1,409",2018-12-13
1864,93,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),"1,408",2018-12-13
1865,94,XXXTENTACION,Jocelyn Flores,"1,402",2018-12-13
1866,95,Khalid,Love Lies (with Normani),"1,392",2018-12-13
1867,96,Post Malone,Psycho (feat. Ty Dolla $ign),"1,386",2018-12-13
1868,97,Dua Lipa,New Rules,"1,380",2018-12-13
1869,98,Silk City,Electricity (with Dua Lipa),"1,363",2018-12-13
1870,99,Post Malone,I Fall Apart,"1,358",2018-12-13
1871,100,Lil Peep,Falling Down - Bonus Track,"1,356",2018-12-13
1872,101,6ix9ine,KIKA,"1,355",2018-12-13
1873,102,Metro Boomin,10 Freaky Girls (with 21 Savage),"1,320",2018-12-13
1874,103,Marshmello,Silence,"1,302",2018-12-13
1875,104,Little Mix,Woman Like Me (feat. Nicki Minaj),"1,300",2018-12-13
1876,105,Selena Gomez,Wolves,"1,291",2018-12-13
1877,106,Calvin Harris,One Kiss (with Dua Lipa),"1,279",2018-12-13
1878,107,DJ Khaled,No Brainer,"1,272",2018-12-13
1879,108,6LACK,Pretty Little Fears (feat. J. Cole),"1,269",2018-12-13
1880,109,Flipp Dinero,Leave Me Alone,"1,266",2018-12-13
1881,110,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","1,236",2018-12-13
1882,111,Rudimental,These Days,"1,215",2018-12-13
1883,112,Khalid,Young Dumb & Broke,"1,215",2018-12-13
1884,113,Ariana Grande,Santa Tell Me,"1,197",2018-12-13
1885,114,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),"1,196",2018-12-13
1886,115,Zara Larsson,Never Forget You,"1,176",2018-12-13
1887,116,Lukas Graham,Love Someone,"1,173",2018-12-13
1888,117,Kwesta,Vur Vai,"1,169",2018-12-13
1889,118,King Monada,Malwedhe,"1,166",2018-12-13
1890,119,Journey,Don't Stop Believin',"1,164",2018-12-13
1891,120,Bebe Rexha,I'm a Mess,"1,163",2018-12-13
1892,121,Sia,Thunderclouds,"1,160",2018-12-13
1893,122,XXXTENTACION,Guardian angel,"1,146",2018-12-13
1894,123,Alan Walker,Darkside,"1,146",2018-12-13
1895,124,The Chainsmokers,Beach House,"1,144",2018-12-13
1896,125,Khalid,Suncity (feat. Empress Of),"1,140",2018-12-13
1897,126,TOTO,Africa,"1,133",2018-12-13
1898,127,Jess Glynne,I'll Be There,"1,127",2018-12-13
1899,128,Juice WRLD,Armed And Dangerous,"1,125",2018-12-13
1900,129,Billie Eilish,bellyache,"1,122",2018-12-13
1901,130,Portugal. The Man,Feel It Still,"1,120",2018-12-13
1902,131,Dennis Lloyd,Nevermind,"1,119",2018-12-13
1903,132,Sia,Audio,"1,119",2018-12-13
1904,133,Avril Lavigne,Head Above Water,"1,117",2018-12-13
1905,134,Michael Bublé,It's Beginning to Look a Lot like Christmas,"1,112",2018-12-13
1906,135,Queen,Another One Bites The Dust - Remastered 2011,"1,105",2018-12-13
1907,136,Ed Sheeran,Happier,"1,103",2018-12-13
1908,137,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,"1,098",2018-12-13
1909,138,Ed Sheeran,Perfect,"1,084",2018-12-13
1910,139,Travis Scott,SICKO MODE - Skrillex Remix,"1,084",2018-12-13
1911,140,XXXTENTACION,I don’t let go,"1,060",2018-12-13
1912,141,Shawn Mendes,Treat You Better,"1,047",2018-12-13
1913,142,James Arthur,Say You Won't Let Go,"1,046",2018-12-13
1914,143,Metro Boomin,Don't Come Out The House (with 21 Savage),"1,030",2018-12-13
1915,144,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),"1,027",2018-12-13
1916,145,BlocBoy JB,Look Alive (feat. Drake),"1,026",2018-12-13
1917,146,Sam Smith,Too Good At Goodbyes,"1,022",2018-12-13
1918,147,Martin Garrix,In the Name of Love,"1,020",2018-12-13
1919,148,6ix9ine,MAMA,"1,014",2018-12-13
1920,149,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)","1,008",2018-12-13
1921,150,Queen,Don't Stop Me Now - 2011 Mix,"1,008",2018-12-13
1922,151,King Princess,1950,"1,002",2018-12-13
1923,1,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"5,275",2018-12-14
1924,2,Ariana Grande,"thank u, next","5,176",2018-12-14
1925,3,Halsey,Without Me,"5,043",2018-12-14
1926,4,Marshmello,Happier,"4,978",2018-12-14
1927,5,Dynoro,In My Mind,"4,098",2018-12-14
1928,6,benny blanco,Eastside (with Halsey & Khalid),"4,090",2018-12-14
1929,7,5 Seconds of Summer,Youngblood,"4,014",2018-12-14
1930,8,Travis Scott,SICKO MODE,"3,895",2018-12-14
1931,9,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"3,879",2018-12-14
1932,10,Khalid,Better,"3,850",2018-12-14
1933,11,Kodak Black,ZEZE,"3,833",2018-12-14
1934,12,Sheck Wes,Mo Bamba,"3,432",2018-12-14
1935,13,Post Malone,Better Now,"3,346",2018-12-14
1936,14,Meek Mill,Going Bad (feat. Drake),"3,310",2018-12-14
1937,15,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","3,282",2018-12-14
1938,16,Ariana Grande,imagine,"3,180",2018-12-14
1939,17,George Ezra,Shotgun,"2,935",2018-12-14
1940,18,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),"2,916",2018-12-14
1941,19,XXXTENTACION,whoa (mind in awe),"2,837",2018-12-14
1942,20,Maroon 5,Girls Like You (feat. Cardi B),"2,824",2018-12-14
1943,21,Jonas Blue,Rise,"2,762",2018-12-14
1944,22,Juice WRLD,Lucid Dreams,"2,729",2018-12-14
1945,23,Loud Luxury,Body (feat. Brando),"2,675",2018-12-14
1946,24,Calvin Harris,Promises (with Sam Smith),"2,619",2018-12-14
1947,25,Lady Gaga,Shallow,"2,477",2018-12-14
1948,26,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),"2,402",2018-12-14
1949,27,Prince Kaybee,Banomoya,"2,397",2018-12-14
1950,28,Lauv,I Like Me Better,"2,333",2018-12-14
1951,29,XXXTENTACION,BAD!,"2,321",2018-12-14
1952,30,XXXTENTACION,SAD!,"2,296",2018-12-14
1953,31,Bazzi,Beautiful (feat. Camila Cabello),"2,291",2018-12-14
1954,32,Sho Madjozi,Wakanda Forever,"2,261",2018-12-14
1955,33,The Chainsmokers,This Feeling (feat. Kelsea Ballerini),"2,252",2018-12-14
1956,34,Billie Eilish,when the party's over,"2,229",2018-12-14
1957,35,AKA,Fela In Versace,"2,217",2018-12-14
1958,36,Khalid,Saturday Nights,"2,209",2018-12-14
1959,37,Ava Max,Sweet but Psycho,"2,208",2018-12-14
1960,38,Tyga,Taste (feat. Offset),"2,181",2018-12-14
1961,39,Zedd,The Middle,"2,081",2018-12-14
1962,40,Anne-Marie,2002,"2,071",2018-12-14
1963,41,The Chainsmokers,Hope,"2,068",2018-12-14
1964,42,Panic! At The Disco,High Hopes,"2,064",2018-12-14
1965,43,Post Malone,rockstar (feat. 21 Savage),"2,062",2018-12-14
1966,44,Mariah Carey,All I Want for Christmas Is You,"2,028",2018-12-14
1967,45,XXXTENTACION,Moonlight,"2,027",2018-12-14
1968,46,Lady Zamar,Collide,"2,021",2018-12-14
1969,47,Martin Garrix,Ocean (feat. Khalid),"1,969",2018-12-14
1970,48,Drake,Nonstop,"1,962",2018-12-14
1971,49,DJ Sumbody,Monate Mpolaye,"1,950",2018-12-14
1972,50,Dean Lewis,Be Alright,"1,935",2018-12-14
1973,51,Zara Larsson,Ruin My Life,"1,919",2018-12-14
1974,52,Queen,Bohemian Rhapsody - 2011 Mix,"1,881",2018-12-14
1975,53,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),"1,880",2018-12-14
1976,54,Dua Lipa,IDGAF,"1,876",2018-12-14
1977,55,Kygo,Happy Now,"1,857",2018-12-14
1978,56,Rita Ora,Let You Love Me,"1,855",2018-12-14
1979,57,Gucci Mane,Wake Up in the Sky,"1,850",2018-12-14
1980,58,Imagine Dragons,Thunder,"1,831",2018-12-14
1981,59,Lil Baby,Drip Too Hard (Lil Baby & Gunna),"1,804",2018-12-14
1982,60,Bad Bunny,MIA (feat. Drake),"1,801",2018-12-14
1983,61,6ix9ine,FEFE,"1,795",2018-12-14
1984,62,Alesso,REMEDY,"1,776",2018-12-14
1985,63,Drake,In My Feelings,"1,761",2018-12-14
1986,64,Ariana Grande,no tears left to cry,"1,756",2018-12-14
1987,65,Ella Mai,Trip,"1,753",2018-12-14
1988,66,Sho Madjozi,Huku,"1,742",2018-12-14
1989,67,Kanye West,I Love It (& Lil Pump),"1,737",2018-12-14
1990,68,The Chainsmokers,Closer,"1,725",2018-12-14
1991,69,Tiësto,Jackie Chan,"1,704",2018-12-14
1992,70,Cardi B,Money,"1,670",2018-12-14
1993,71,Marshmello,FRIENDS,"1,667",2018-12-14
1994,72,Zedd,Happy Now,"1,658",2018-12-14
1995,73,Imagine Dragons,Bad Liar,"1,648",2018-12-14
1996,74,Clean Bandit,Solo (feat. Demi Lovato),"1,636",2018-12-14
1997,75,Ed Sheeran,Shape of You,"1,634",2018-12-14
1998,76,Kygo,Born To Be Yours,"1,631",2018-12-14
1999,77,Drake,God's Plan,"1,628",2018-12-14
2000,78,Maroon 5,What Lovers Do,"1,602",2018-12-14
2001,79,Camila Cabello,Havana (feat. Young Thug),"1,578",2018-12-14
2002,80,Dua Lipa,New Rules,"1,567",2018-12-14
2003,81,Alan Walker,Darkside,"1,566",2018-12-14
2004,82,French Montana,No Stylist,"1,565",2018-12-14
2005,83,Billie Eilish,lovely,"1,560",2018-12-14
2006,84,Martin Garrix,High On Life (feat. Bonn),"1,559",2018-12-14
2007,85,Eminem,Lucky You (feat. Joyner Lucas),"1,547",2018-12-14
2008,86,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,"1,544",2018-12-14
2009,87,Imagine Dragons,Believer,"1,535",2018-12-14
2010,88,Wham!,Last Christmas,"1,531",2018-12-14
2011,89,Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","1,526",2018-12-14
2012,90,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),"1,515",2018-12-14
2013,91,Ariana Grande,breathin,"1,500",2018-12-14
2014,92,6ix9ine,TIC TOC,"1,496",2018-12-14
2015,93,Dua Lipa,Kiss and Make Up,"1,439",2018-12-14
2016,94,Kwesta,Vur Vai,"1,435",2018-12-14
2017,95,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),"1,433",2018-12-14
2018,96,Imagine Dragons,Natural,"1,428",2018-12-14
2019,97,NF,Let You Down,"1,427",2018-12-14
2020,98,Flipp Dinero,Leave Me Alone,"1,425",2018-12-14
2021,99,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),"1,422",2018-12-14
2022,100,Ariana Grande,Santa Tell Me,"1,418",2018-12-14
2023,101,Cardi B,I Like It,"1,403",2018-12-14
2024,102,King Monada,Malwedhe,"1,400",2018-12-14
2025,103,Silk City,Electricity (with Dua Lipa),"1,386",2018-12-14
2026,104,Alan Walker,Lost Control,"1,382",2018-12-14
2027,105,Post Malone,Psycho (feat. Ty Dolla $ign),"1,349",2018-12-14
2028,106,The Chainsmokers,Beach House,"1,348",2018-12-14
2029,107,DJ Khaled,No Brainer,"1,344",2018-12-14
2030,108,Lil Peep,Falling Down - Bonus Track,"1,341",2018-12-14
2031,109,6ix9ine,KIKA,"1,338",2018-12-14
2032,110,Manqonqo,Eyadini,"1,332",2018-12-14
2033,111,6LACK,Pretty Little Fears (feat. J. Cole),"1,323",2018-12-14
2034,112,Kygo,Remind Me to Forget,"1,316",2018-12-14
2035,113,Journey,Don't Stop Believin',"1,315",2018-12-14
2036,114,Khalid,Young Dumb & Broke,"1,304",2018-12-14
2037,115,Calvin Harris,One Kiss (with Dua Lipa),"1,298",2018-12-14
2038,116,Selena Gomez,Wolves,"1,289",2018-12-14
2039,117,Khalid,Love Lies (with Normani),"1,281",2018-12-14
2040,118,Post Malone,I Fall Apart,"1,280",2018-12-14
2041,119,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","1,276",2018-12-14
2042,120,Lukas Graham,Love Someone,"1,271",2018-12-14
2043,121,Little Mix,Woman Like Me (feat. Nicki Minaj),"1,270",2018-12-14
2044,122,TOTO,Africa,"1,264",2018-12-14
2045,123,Marshmello,Silence,"1,259",2018-12-14
2046,124,XXXTENTACION,Jocelyn Flores,"1,230",2018-12-14
2047,125,Michael Bublé,It's Beginning to Look a Lot like Christmas,"1,220",2018-12-14
2048,126,Sia,Thunderclouds,"1,214",2018-12-14
2049,127,Rudimental,These Days,"1,209",2018-12-14
2050,128,Juice WRLD,Armed And Dangerous,"1,191",2018-12-14
2051,129,DJ Maphorisa,iWalk Ye Phara,"1,189",2018-12-14
2052,130,Zara Larsson,Never Forget You,"1,188",2018-12-14
2053,131,Metro Boomin,10 Freaky Girls (with 21 Savage),"1,170",2018-12-14
2054,132,Kodak Black,MoshPit,"1,158",2018-12-14
2055,133,Queen,Another One Bites The Dust - Remastered 2011,"1,138",2018-12-14
2056,134,Billie Eilish,come out and play,"1,137",2018-12-14
2057,135,Khalid,Suncity (feat. Empress Of),"1,123",2018-12-14
2058,136,Bebe Rexha,I'm a Mess,"1,122",2018-12-14
2059,137,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),"1,121",2018-12-14
2060,138,Sia,Audio,"1,116",2018-12-14
2061,139,Jess Glynne,I'll Be There,"1,109",2018-12-14
2062,140,Portugal. The Man,Feel It Still,"1,107",2018-12-14
2063,141,Dennis Lloyd,Nevermind,"1,098",2018-12-14
2064,142,Ariana Grande,God is a woman,"1,089",2018-12-14
2065,143,Lil Wayne,Scared of the Dark (feat. XXXTENTACION),"1,074",2018-12-14
2066,144,BobHelms,Jingle Bell Rock,"1,072",2018-12-14
2067,145,Shawn Mendes,Treat You Better,"1,065",2018-12-14
2068,146,Ed Sheeran,Perfect,"1,057",2018-12-14
2069,147,Sjava,Izitha,"1,054",2018-12-14
2070,148,Sjava,Linda,"1,052",2018-12-14
2071,149,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,"1,043",2018-12-14
2072,150,Starley,Call On Me - Ryan Riback Remix,"1,033",2018-12-14
2073,151,James Arthur,Say You Won't Let Go,"1,032",2018-12-14
2074,152,Avril Lavigne,Head Above Water,"1,030",2018-12-14
2075,153,Eminem,Venom - Music From The Motion Picture,"1,021",2018-12-14
2076,154,Ed Sheeran,Thinking out Loud,"1,020",2018-12-14
2077,155,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),"1,019",2018-12-14
2078,156,Shawn Mendes,In My Blood,"1,012",2018-12-14
2079,157,Kendrick Lamar,All The Stars (with SZA),"1,012",2018-12-14
2080,158,Travis Scott,SICKO MODE - Skrillex Remix,"1,002",2018-12-14
2081,1,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"5,293",2018-12-15
2082,2,Ariana Grande,"thank u, next","4,896",2018-12-15
2083,3,Halsey,Without Me,"4,834",2018-12-15
2084,4,Marshmello,Happier,"4,631",2018-12-15
2085,5,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"3,988",2018-12-15
2086,6,benny blanco,Eastside (with Halsey & Khalid),"3,854",2018-12-15
2087,7,5 Seconds of Summer,Youngblood,"3,782",2018-12-15
2088,8,Dynoro,In My Mind,"3,733",2018-12-15
2089,9,Khalid,Better,"3,592",2018-12-15
2090,10,Kodak Black,ZEZE,"3,569",2018-12-15
2091,11,Travis Scott,SICKO MODE,"3,503",2018-12-15
